origin_airport,destination_airport,num_flights,average_delay
LAX,ATL,3600,5.314027777777778
BNA,DTW,1147,5.342632955536181
SLC,LAX,2256,5.345301418439716
SFO,JFK,2031,5.346381093057607
RIC,ATL,2565,5.379532163742691
ATL,PWM,604,5.442880794701987
ATL,DAY,1298,5.4765023112480735
ATL,JAX,4003,5.479765176117912
DTW,BDL,1166,5.486706689536878
BOS,MCO,572,5.496503496503497
ATL,CHA,777,5.507078507078507
DTW,SFO,1306,5.512251148545176
LGA,MIA,1914,5.596656217345872
DTW,BOS,2224,5.62544964028777
MIA,MSP,445,5.68876404494382
ATL,FNT,924,5.7023809523809526
ATL,SJU,1351,5.719837157660992
DTW,BUF,434,5.731566820276498
AVL,ATL,637,5.773940345368917
DTW,DFW,421,5.798099762470309
JFK,LAX,2520,5.892261904761905
BWI,ATL,3570,5.912324929971989
SLC,SFO,593,5.922428330522766
ATL,MYR,850,5.964117647058824
DTW,IND,482,5.974066390041494
PHL,MSP,1106,5.978300180831827
DCA,ATL,4502,5.986228342958685
BOS,MSP,1791,6.104410943606924
AUS,ATL,2230,6.140134529147982
MSP,EWR,408,6.170343137254902
BOS,LAX,545,6.2394495412844035
DTW,DCA,1636,6.330378973105134
LGA,DEN,658,6.393617021276596
DEN,MSP,1807,6.407304925290537
SEA,LAX,1648,6.432342233009709
ATL,DCA,4506,6.530071016422548
JFK,MSP,838,6.61217183770883
IAH,ATL,2315,6.61598272138229
LGA,PBI,1584,6.6268939393939394
BWI,DTW,1442,6.634188626907074
DCA,DTW,1650,6.635757575757576
GEG,MSP,747,6.728246318607765
DEN,LGA,654,6.814984709480122
SEA,JFK,1239,6.844229217110573
SLC,JFK,1491,6.932930918846412
MSY,DTW,594,7.034511784511785
LAX,CVG,532,7.046052631578947
IND,DTW,476,7.092436974789916
ORD,DTW,1445,7.1397923875432525
ATL,ORD,3635,7.167812929848694
HNL,LAX,1289,7.320015515903801
MSP,LGA,2098,7.340562440419447
PHL,DTW,1585,7.351419558359622
LAX,RDU,439,7.373576309794988
JFK,SFO,2033,7.409247417609444
BOS,DTW,2216,7.442463898916968
SEA,HNL,566,7.493816254416961
ATL,AGS,697,7.56958393113343
JFK,TPA,1096,7.626824817518248
DFW,ATL,3654,7.73248494800219
JFK,SEA,1239,7.780064568200162
DTW,GRR,870,7.781034482758621
SMF,ATL,552,7.888586956521738
DEN,JFK,498,7.967871485943775
MSP,ORD,1505,8.031893687707642
LAX,TPA,395,8.089873417721519
EWR,DTW,927,8.104099244875943
DCA,SLC,626,8.10702875399361
ATL,AVL,637,8.14756671899529
ATL,ROA,383,8.184073107049608
LAS,JFK,1540,8.186688311688313
JFK,SLC,1492,8.351206434316353
DTW,PIT,393,8.473282442748092
SEA,ANC,1240,8.5375
ATL,PHL,3497,8.556762939662567
PDX,LAX,565,8.568141592920353
LAX,OGG,646,8.58359133126935
LGA,ATL,5195,8.609528392685274
LGA,FLL,1933,8.774443869632695
DFW,DTW,417,8.793764988009592
DTW,ORD,1420,8.802464788732395
JFK,DEN,497,8.806841046277667
LGA,DTW,2567,8.867549668874172
LAS,LAX,713,8.91234221598878
JFK,MCO,1524,8.962270341207349
OGG,LAX,641,9.014040561622465
ATL,EWR,3337,9.075516931375487
DTW,PHL,1574,9.150889453621346
LGA,MSP,2097,9.196232713400095
JFK,MIA,1246,9.197030497592294
LAX,JFK,2519,9.232036522429535
FLL,LGA,1916,9.461377870563675
ATL,MOB,454,9.473568281938325
LAX,MCO,877,9.571835803876853
ATL,LGA,5179,9.578586599729677
LGA,MCO,2182,9.579285059578368
AUS,JFK,573,9.893542757417103
JFK,FLL,1348,9.986275964391691
JFK,ATL,1887,10.272125066242713
ORD,ATL,3627,10.435897435897436
LGA,TPA,1310,10.51412213740458
JFK,BOS,1237,10.746968472109943
LGA,MSY,432,10.90625
MCO,BOS,576,10.934895833333332
DTW,LGA,2571,11.048424737456243
LAX,PDX,565,11.262831858407079
LAX,HNL,1289,11.616369278510472
MIA,LGA,1900,11.696842105263158
MCO,LGA,2177,11.806155259531465
JFK,PDX,567,11.95326278659612
FLL,JFK,1345,11.993680297397768
TPA,JFK,1099,12.959963603275705
TPA,LGA,1307,13.42195868400918
ATL,JFK,1889,13.643462149285337
ORD,MSP,1487,13.843308675184936
LAX,LAS,726,14.856060606060606
CHS,JFK,429,15.078088578088577
PBI,LGA,1570,15.186624203821655
LGA,BOS,3105,15.321256038647345
LGA,RSW,418,15.328947368421053
MIA,JFK,1242,15.782206119162641
DTW,EWR,902,16.09146341463415
BOS,JFK,1237,16.603476151980598
RSW,LGA,415,16.71566265060241
MSY,LGA,428,17.063084112149532
BOS,LGA,3094,17.626535229476406
MCO,JFK,1521,18.427021696252467
LAX,SFO,1351,20.934122871946705
SFO,LAX,1352,25.294008875739642
